"Density
(P/Km2)",Agricultural Land( %),Armed Forces size,Co2-Emissions,CPI,Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation_Critical
2.772588722239781,2.7,10.043292972227004,10.621912540280341,4.7980194646687,1.78,26.72303669999045,100.3,82.0,1.131402111491101,2.274391358623264,14.3,2.92,63.8,23.9,36.2,3.35,15.3012472316748,60.472024,8.468946,0
4.07753744390572,30.4,10.165890277802454,9.2794932306645,4.812753299184245,0.74,24.92498089348017,94.4,47.8,2.6461747973841225,0.9282193027394288,30.5,1.57,66.6,15.97659574468085,37.2,3.9,14.876796471420803,8.537981,-80.782127,0
3.044522437723423,2.6,8.294299608857235,8.92757950384347,5.0561821090522265,1.36,23.94092537988353,108.5,1.8,3.6635616461296463,0.7701082216960736,5.8,0.07,47.2,13.6,37.1,2.46,13.966371546973072,-6.314993,143.95555,0
2.9444389791664403,55.1,10.203629181337648,8.910315776326016,4.975491591960675,1.04,24.364668099266574,104.4,34.6,2.9014215940827497,0.9360933591703348,36.5,1.35,72.1,10.0,35.0,4.81,15.287787871593244,-23.442503,-58.443832,1
4.8283137373023015,46.9,12.160033942617156,12.608325934598538,4.74588819292697,1.07,27.10705013714439,100.0,67.8,1.5686159179138457,1.3686394258811698,23.2,2.38,56.7,17.4,40.8,3.47,16.942120863342375,51.919438,19.145136,0
4.718498871295094,39.5,10.859018228147889,10.79431687637241,4.715100245360287,1.54,26.19421663002582,106.2,63.9,1.4109869737102625,1.5644405465033644,27.7,5.12,58.8,22.8,39.8,6.33,15.725583292622428,39.399872,-8.224454,1
4.442651256490317,58.8,11.744045122410055,11.145622817956413,4.82655218668264,1.16,26.24503648290996,85.2,49.4,1.9600947840472696,1.1786549963416462,21.3,2.98,54.7,14.6,20.0,3.98,16.163909389965855,45.943161,24.96676,0
2.302585092994046,13.3,14.189829624833274,14.3648035342556,5.202632116413628,0.59,28.161576763691635,102.6,81.9,1.9600947840472696,0.4252677354043441,36.4,4.01,61.8,11.4,46.2,4.59,18.494710548765383,61.52401,105.318756,0
5.652489180268651,25.6,10.357774570341576,5.3981627015177525,4.706552800276694,1.0253535353535357,20.531360727459955,113.4,23.7,2.760009940032921,0.7701082216960736,21.4,0.66,65.9,25.4,37.0,18.88,10.9714000549546,12.984305,-61.287228,0
2.833213344056216,80.8,12.437188334739655,13.241833877380495,4.782479200958502,0.24,27.399047239501304,99.8,68.0,1.9459101490553128,1.5789787049493915,15.0,2.61,55.9,8.9,15.7,5.93,17.17615809556988,23.885942,45.079162,0
4.477336814478207,46.1,9.852246888342531,9.296793259706382,4.702750514326955,1.14,23.88358347570099,81.0,12.8,3.4904285153900982,0.2700271372130602,44.2,0.07,45.7,16.3,44.8,6.6,15.865228060001618,14.497401,-14.452362,0
4.61512051684126,39.3,10.373522431293592,10.719338973071524,4.976733742420574,1.16,24.66308234665625,100.3,67.2,1.757857917552374,0.9439058989071284,40.6,3.11,54.9,18.6,36.6,12.69,15.178342824096376,44.016521,21.005859,0
9.031094081699155,0.9,11.302216779257382,10.533055751453203,4.748491005432314,1.25,26.64232776174545,100.6,84.8,1.1939224684724348,2.274391358623264,36.7,2.29,70.5,13.1,21.0,4.11,15.556602852540376,1.352083,103.819836,0
4.6443908991413725,30.7,8.853808274977197,9.444146871458646,4.718945200246936,1.32,24.707463623881644,100.4,78.6,0.9932517730102832,1.8325814637483104,12.5,3.09,58.4,18.6,31.0,4.2,13.950613839523816,46.151241,14.995463,0
3.258096538021482,70.3,9.90353755128617,6.470799503782602,4.82655218668264,1.41,22.275228709207973,23.4,2.5,4.351567427189173,0.3133498192003586,32.097058823529416,0.02,47.4,0.0,37.7,11.35,15.766388632133536,5.152149,46.199616,1
6.269096283706261,17.4,13.359805810705184,13.337963347319013,4.754968551076486,1.22,28.33856417677272,98.1,94.3,1.308332819650179,2.0135687975291283,36.8,2.36,63.0,15.6,33.2,4.15,17.555717905867194,35.907757,127.766922,0
4.553876891600541,52.6,12.185875040240456,12.404935799281722,4.718141664647253,1.26,27.96328186149355,102.7,88.9,1.252762968495368,1.88706964903238,24.2,3.87,57.5,14.2,47.0,13.96,17.45118462765318,40.463667,-3.74922,0
3.258096538021482,28.7,11.728044909070784,9.90353755128617,7.174362069656459,0.95,23.66254862350654,76.8,16.9,3.763522997109702,0.3435897043900768,63.2,0.26,48.4,8.0,45.4,16.53,16.52070562036765,12.862807,30.217636,1
1.6094379124341005,0.6,7.601402334583733,7.461065514354283,5.689210145472944,1.29,22.105866067660877,108.8,12.6,2.884800712846709,0.5584722772333437,10.1,1.21,51.1,19.5,27.9,7.33,12.859072083377685,3.919305,-56.027783,0
3.258096538021482,7.4,10.308985993422082,10.674821874116294,4.7141142729772705,1.42,26.997713135860565,126.6,67.0,1.1631508098056806,2.274391358623264,15.2,3.98,64.6,27.9,49.1,6.48,16.015084151977064,60.128161,18.643501,0
5.393627546352362,38.4,9.952325334619427,10.448076718454924,4.610655116218661,1.45,27.278739984131327,105.2,59.6,1.5475625087160128,2.160791087376159,28.3,4.3,68.3,10.1,28.8,4.58,15.661194448793534,46.818188,8.227512,0
4.564348191467836,75.8,12.384223015005311,10.269206476121777,4.971201224850849,0.83,24.42221952532628,81.7,40.1,2.70805020110221,0.7030975114131134,53.7,1.22,44.1,14.2,42.7,8.37,16.05174428761482,34.802075,38.996815,0
4.219507705176107,44.8,10.239995502805316,9.390492911485298,5.238726585134399,0.87,24.86920722693848,94.2,4.0,3.653252276470785,0.0861776962410522,26.1,0.01,83.4,11.5,43.8,1.98,16.811836954991957,-6.369028,34.888822,1
5.030437921392435,70.2,9.210440366976515,8.006700845440367,4.738826570800765,0.71,22.42071085709905,123.8,14.5,3.879499813722586,0.29266961396282,51.0,0.08,77.6,16.9,48.2,2.04,15.043582335296833,8.619543,0.824782,1
4.343805421853684,64.8,10.778977123006351,10.306883855475181,5.051969157589233,0.73,24.38162705928219,115.4,31.7,2.747270914255491,0.3852624007906449,39.8,1.3,46.1,21.1,60.7,16.02,15.907258810467908,33.886917,9.537499,0
4.709530201312334,49.8,13.146081857144738,12.82859884423619,5.461456103925217,1.42,27.34920408803388,93.2,23.9,2.312535423847214,1.4929040961781488,16.9,1.85,52.8,17.9,42.3,13.49,17.960196762730252,38.963745,35.243322,0
